Vessel Name,Operator,Service,Phase,ETA,ETD,Previous port,Next port,actual_A,actual_D
MSC MANDY,MSC,BL11,INBOUND,06/11/2019 14:00,07/11/2019 02:00,Liverpool,Antwerp,04/11/2019 02:13,04/11/2019 08:30
CMA CGM FORT ST MARIE,CMA CGM,NBE,INBOUND,04/11/2019 23:59,05/11/2019 15:00,Fortaleza,Rotterdam,05/11/2019 05:27,05/11/2019 17:12
LINDAUNIS,CMA CGM,EUM,INBOUND,05/11/2019 14:00,05/11/2019 20:00,Agadir,Dunkerque,07/11/2019 16:03,07/11/2019 19:26
MOL GRATITUDE,Ocean Network Express,AL4,INBOUND,06/11/2019 06:00,06/11/2019 23:00,Tuxpan,Southampton,06/11/2019 04:30,07/11/2019 03:10
MSC ASYA,MSC,EPIC1,INBOUND,10/11/2019 16:00,11/11/2019 16:00,Mundra,Rotterdam,11/11/2019 11:20,12/11/2019 09:35
LAURA MAERSK,Maersk Line,CLX,INBOUND,11/11/2019 18:00,12/11/2019 10:00,TERMINAL CONTECAR,Rotterdam,11/11/2019 19:00,12/11/2019 08:15
YM EVOLUTION,Yang Ming Line,AL1,INBOUND,15/11/2019 04:00,15/11/2019 18:00,Savannah,Antwerp,15/11/2019 05:00,15/11/2019 17:21
CAP SAN MALEAS,Maersk Line,SAEC1,INBOUND,15/11/2019 06:00,15/11/2019 23:00,Gent (Ghent),Hamburg,15/11/2019 07:20,15/11/2019 22:11
MSC LUDOVICA,MSC,SAEC2,INBOUND,15/11/2019 14:00,16/11/2019 02:00,Bremerhaven,Hamburg,16/11/2019 13:29,17/11/2019 12:01
MARFRET GUYANE,Marfret,NEFGUI,INBOUND,16/11/2019 04:00,16/11/2019 15:00,Le Havre,Rotterdam,16/11/2019 09:42,16/11/2019 18:25
SEASPAN YANGTZE,HAPAG LLOYD,EPIC,INBOUND,16/11/2019 12:00,17/11/2019 05:30,Le Havre,Hamburg,16/11/2019 13:04,17/11/2019 15:06
NORDSERENA,CMA CGM,CES,INBOUND,17/11/2019 06:00,17/11/2019 21:00,Moin,Vlissingen,17/11/2019 15:02,18/11/2019 02:04
MSC PEGASUS,MSC,NWC,INBOUND,14/11/2019 03:00,14/11/2019 18:00,El Dekheila,Rotterdam,14/11/2019 00:50,14/11/2019 09:37
PERSEUS,Ocean Network Express,IB1,INBOUND,15/11/2019 22:00,16/11/2019 06:00,Antwerp,Leixoes,16/11/2019 05:49,16/11/2019 14:00
EUROPE,MSC,AUS,INBOUND,19/11/2019 06:00,20/11/2019 14:00,Damietta,Antwerp,18/11/2019 08:40,18/11/2019 16:11
AEGIALI,HAPAG LLOYD,AL4,INBOUND,20/11/2019 06:00,20/11/2019 23:00,Tuxpan,Southampton,20/11/2019 06:04,20/11/2019 23:00
BERNADETTE,MSC,AEGEAN,INBOUND,20/11/2019 07:00,21/11/2019 07:00,Gent (Ghent),Rotterdam,20/11/2019 09:58,21/11/2019 04:00
CMA CGM FORT FLEUR DEPEE,CMA CGM,NEFWI,INBOUND,20/11/2019 18:00,21/11/2019 06:00,Moin,London Gateway Port,19/11/2019 15:55,20/11/2019 04:04
SEATRADE BLUE,CMA CGM,PAD,INBOUND,20/11/2019 23:59,21/11/2019 12:00,Antwerp,Savannah,21/11/2019 00:25,21/11/2019 08:10
CMA CGM NIAGARA,CMA CGM,SAWC,INBOUND,21/11/2019 05:00,22/11/2019 04:00,Posorja,Hamburg,21/11/2019 14:02,22/11/2019 09:23
NORTHERN JADE,MSC,LEV,INBOUND,21/11/2019 07:00,21/11/2019 23:00,Gent (Ghent),Antwerp,21/11/2019 10:14,22/11/2019 06:10
MSC MARGARITA,MSC,EPIC1,INBOUND,21/11/2019 16:00,22/11/2019 04:00,Mundra,Rotterdam,22/11/2019 18:30,23/11/2019 06:28
DAL KALAHARI,Deutsche Afrika Lines,SAECS,INBOUND,21/11/2019 23:59,22/11/2019 16:00,Rotterdam,Bremerhaven,22/11/2019 10:41,22/11/2019 21:50
YM EXPRESS,Yang Ming Line,AL1,INBOUND,22/11/2019 04:00,22/11/2019 18:00,Savannah,Antwerp,22/11/2019 03:40,22/11/2019 16:57
CAP SAN MARCO,Maersk Line,SAEC1,INBOUND,22/11/2019 06:00,22/11/2019 23:00,Gent (Ghent),Hamburg,22/11/2019 08:45,22/11/2019 23:16
HUNGARY,HAPAG LLOYD,SAEC2,INBOUND,22/11/2019 14:00,23/11/2019 02:00,Bremerhaven,Hamburg,23/11/2019 01:35,23/11/2019 16:05
ELBSAILOR,Ocean Network Express,IB1,INBOUND,22/11/2019 22:00,23/11/2019 06:00,Antwerp,Leixoes,23/11/2019 13:53,23/11/2019 23:04
